id/videoId;snippet/channelId;snippet/title;snippet/channelTitle
QCyO1sXKMfM;UCWO5oyxM_J18-Fs11RFKmow;hardest dark souls boss;rokamo
8gCRhzCG1hg;UCfYdPZB4V0KPF9lmy453iCQ;Dark Souls Taken To Court - Judge Rinder;Chokoloco
mOjUtUE9MlA;UC84XOWuP5-IiInbWhkgk9Cw;??? ????? ? Dark Souls III ? ??????? ??????;UNITEAM / ??????
qrqqm6LMpis;UCfrCC7GIoAt8HjWFXhENrnA;ALMAS INFINITAS Dark Souls 3 ( 2017 );GamerS SoulS
2raB8Gjmn_E;UC0AryWvQ0RPR5KRh1BLLVfA;Las Hijas del Abismo | Dark Souls 3 Lore;Zanoth
kV2E-_C0ar0;UCP9D9cyFUX6WYTNxbgGDeCA;Dark Souls 3 Lore - ?????? ?????? ???????? ??????;Likoris
7L-eib0RljQ;UCdOSjTCIJSsAAsMug6q8_Rg;DARK SOULS 3 ?????? ?? ????? ?????? ?? (2 ????, 2 ???, GeForce GT 630 1 ??);????? rempc by
eyh6dA4xtTQ;UCNghxT0aJG9MAuZckBERT6A;Dark Souls 3 - Il Recupero.;ilGattoSulTubo
RpyWQ40C08o;UC3naiRIN8f4grIG0vn2r7lQ;Gémbot | Dark Souls végigjátszás 1. rész: Undead Asylum;SuperCsubi - A Dühöng? ?rmedve
YktcaFQoRDQ;UCEmx7uNWukZXs-prk2fgOPQ;[ThePruld] Dark Souls Berserk Anime OP (Read Description);TheSalamanderGamer
WRPMQXc3rEU;UCjxDeVWnBBS3bgNvFDytZiw;???? ?? Dark Souls 3 ????????????TAT gor fans???????;Tat Story
vCZLrUd8JiM;UCOWsWZTiXkbvQvtWO9RA0gA;Dark Souls'Vania ? - Kickstartez-moi ça ! - Benzaie Live;BenzaieLive
cP9le2jWoeY;UCwxp3jXrGx6i-X8Iwx4vvQQ;??????? DARK SOULS 3 - ?????? ??????;Kvodan Wj
JbSBlc44sbU;UCHMIb2Xo03ri9FxFkktk3tw;??????? ??????? Dark Souls III. ??????? ???????;CustomStories
sKGIUfxKxzg;UCAAylfOqx0Q2THZ4VVIWyFQ;Dark Souls 2 (2014) ?????????;???? ????
LT7FOXmYKog;UCOOzVNnAm0z6v1ImCftzWnw;?Dark Souls????????????????  | Ash of Andariel's Lore;Ordinary Gaming Studio???????
9zXb0YfSWHc;UC4gidRHpFnOlihy3WBVBKvA;restt hrá DARK SOULS 3 | Funny/Rage zostrih | /resttpowered;ThomisTV
C2oPT_C8iQQ;UCoqDr5RdFOlomTQI2tkaDOA;Dark Souls 3 = Easiest Game;ForsenTV
sbYQcN_TOpU;UCpzaiwS4vTkJsiCP-zwhPMQ;DARK SOULS 3 DLC | Ashes of Ariandel | Empezamos bien!;Tigry86
zx8ZeM9Xci8;UC8-BXeM2NQ2ynKgaCa7Xvzw;Dark Souls III - Ashes Of Ariandel;Sedge Sedgicus
cfi1_btKoiE;UCRSQ_EudkkVJM6yiwg2iM9w;Dark souls III ashes of ariandel EN ENTIER - On Va souffrir un peu ensemble;OxyDoRe
kwK5bIYFyZY;UCqZRCEQYar0TAUBfNlGs9Yg;Tilt Brush - Artorias The Abysswalker - Sif - Dark Souls 3 - VR Painting;vrhuman
PcczSRa1N6Q;UCNf9cBLO7Vq_dMPun7HDGxw;Ire: Blood Memory | JUEGO TIPO DARK SOULS PARA ANDROID;El Poder del AnDrOiDe VeRdE
bHuCfF8iHMQ;UCZHB1VEu3ouE6lnf_kIUEyA;[FR] Dark Souls 3 Lore - Confluences Temporelles - Explication de l'univers - S2E02;SKXproduction
IutiUkTU7NE;UCh63ix_zs3s1c443rzF65Dg;?????? ? ?? ???? ????? DARK SOULS (????????);????? ???
UAll17bXwic;UCMQSwUNSnMOP4IRysfeg8EA;LE JEU VIDEAL - Dark Souls 3;Simon Puech
z_KytDXfp4k;UCVY5WsnGa21NVDG70-g6kEw;Dark Souls III - Ancient Wyvern - LEGIT MELEE KILL (NG+7);Ray Dhimitri
U0rbo3Fab2E;UC8hN9jTkKfLIq8KU3A7jO_w;Dark souls spicy Meme;Splinterbee
988dOzYnT2g;UClPq0KRbJUWxrLXd3CONucA;Dark souls 3 ??????? NG+7 ?? 102 ??????|?????????|?????? ????;Game Doctor
p-yps5okECU;UCiL_N6axA7t7Vwxo9W-gsVQ;Carpenter Brut - Le Perv (Dark Souls 3 GMV);KenStarSol
5uQE5lgVOwQ;UCP9D9cyFUX6WYTNxbgGDeCA;Dark Souls 3 - 10 ?????????? ???????;Likoris
fvQqffpJAYM;UCTOgpxTnPRYNeF6-qxWQCcg;Dark Souls Lore | Carim, A Comprehensive Look;Mitch L
mEfPD2x6EY0;UCh63ix_zs3s1c443rzF65Dg;??? ????? DARK SOULS ?? 3 ?????? (????????);????? ???
sw7TuFO5s1w;UClPq0KRbJUWxrLXd3CONucA;??? ??????? ????? ?????????? ? Dark souls|??????? ?????? ??????????;Game Doctor
6yqrPoG3OPI;UCYW45MHXiBHQ8KMK_79VwEQ;Dark Souls ENTIRE Storyline in 3 Minutes! (Dark Souls Animation);ArcadeCloud
Gitgq-E9GA0;UCwxp3jXrGx6i-X8Iwx4vvQQ;Dark Souls 3 | ??????? ???? ?????? ?? 1:22 ?? ????????? ??? ????? [Speedrun by Kvodan];Kvodan Wj
Ze08GiCi-iA;UCoal_hpPIPAnWlG-kWHLheA;New Dark Souls Monsters;The Drawfee Channel
OlAQ95dRFeo;UC4lscv3AWUHbhdIb-ors3kA;Dark Souls and Depression;ParagonDS
C-zhgFb7XuY;UCcAQJDkK-Xf-YGCGAdAY3Ig;??????????? Dark Souls 2: Scholar of the First Sin — ????? 20: ????? ??????.??????? ????;??????? ????
E4D1cLTrQNM;UC_QbuhnR5rYOu1NRq7Qh5lA;Zonas para Farmeo de Titanitas, Hueso Dragón y Ascuas | Dark Souls 2;Coya Raza
4PssScq6m90;UCNqN7k7qUKVhYQb5DLEDdaA;BEST OF SARDOCHE #8 - MARIO SUNSHINE PLUS DUR QUE DARK SOULS ?!;Best Of Sardoche
RipqL1SmTqw;UCi2M0mTe-It58PBFhAvUxAg;Dark Souls III GMV - In The End;LegitSniper
Zg93BwctqsM;UC3DZTsVTZEEUgoZN5AfJHLA;Dark Souls 3 ???? ????????? ?????????? ???????;GameZOiled
yrZwqw2iYRM;UC3-87zhQFd6poByHjBVyJwA;Analisis Dark Souls - Un Imperio de Polvo: Fading Flames;Talking Vidya
-4FviR3iEwA;UCwNUvFnzaSFzJJy6YnvgKwQ;YO AQUÍ YA HE ESTADO | Dark Souls 3 (Ep 29);Outconsumer
lFd7YWnNghg;UC-3QwnB0mefZMnPjAqOyNkg;???? ???? ?? ?????? ! | Dark Souls 3;d7oomy_999 | ????????
tXgO72tLR4Q;UCdiWimr4z6gJIoPWfCBiccw;Dark Souls 3 - We're still in farron...;JayJay Golden
lUV9REuzFYA;UClPq0KRbJUWxrLXd3CONucA;Dark Souls 3 100% ???? ??? ?????? ???????|??? ???? ??? ?????;Game Doctor
s6nsDAAOCBA;UCA7-KUzOQF-qk46knmCnCmg;Dark Souls 3 Gameplay: JARDIN DEL REY CONSUMIDO Y TUMBAS OLVIDADAS - Aquí hay muchos secretos! EP.18;Powerbazinga TV
Sr49Lni5C2Q;UCf31Gf5nCU8J6eUlr7QSU0w;"Dark Souls III ""????, ???????, ?????""";Mr. Marmok
